YEAR,QUARTER,MONTH,ITEM_SECTION_CODE,SECTION_DESC,WEIGHT_IMPORT,VALUE_IMPORT,WEIGHT_EXPORT,VALUE_EXPORT,WEIGHT_REXPORT,VALUE_REXPORT
2011,1,1,01,LIVE ANIMALS AND THEIR PRODUCTS,94272741.74,851765809.8,7096833.43,98927481.12,4192538.23,41311818.73
2011,1,1,02,VEGETABLE PRODUCTS,1344653499,3099679003,10512395.84,34938082.6,187465151.1,613119335
2011,1,1,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",51070091.05,242370946.3,46259515.8,211000553.8,1640944.12,7102563.68
2011,1,1,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",161022057,1448605536,123319895.9,570518332.6,41529554.31,624849118.6
2011,1,1,05,MINERAL PRODUCTS,1067546764,1880100080,1193855903,680307316.3,450192218.6,1182945160
2011,1,1,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,524360624.6,3349871334,32157686.08,277019350.4,52225120.6,1119988543
2011,1,1,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",217479865.1,1783314243,127923752.8,780656861.8,71009075.39,694869240.4
2011,1,1,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,10306035.54,255093353,262493.83,1718874.1,3473215.22,70666988.09
2011,1,1,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",140051743.3,347067033.8,263884.92,1798999.03,27644161.86,75148473.34
2011,1,1,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",103487175.3,522125480,43862664.55,156817374.2,7674714.69,66239851.56
2011,1,1,11,TEXTILES AND TEXTILE ARTICLES,120547131.5,2166108552,15281939.26,142509040.9,62111838.85,1038677841
2011,1,1,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",15406042.1,398914995,305951.51,2804408.68,8820229.32,172307789.7
2011,1,1,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",269679896.3,771934073.7,113414598.2,198680714.5,39230654.34,266103664.5
2011,1,1,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",988778.99,17727522064,504412.48,4185534329,291625.93,10182198111
2011,1,1,15,BASE METALS AND ARTICLES OF BASE METAL,949830781.7,5319778808,257963769.9,1023350123,137129141.5,922306347.5
2011,1,1,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",278873666.6,16253526533,15292413.81,164238081.5,200360778.4,9840547934
2011,1,1,17,VEHICLES OF TRANSPORT,167798526.9,5884328063,6621679,94473621.28,118418843.6,3163013349
2011,1,1,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",6730068.37,1354766922,141632.5,7533777.06,3078674.11,673306839.5
2011,1,1,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,7865.26,36018946.42,9467.5,1151172.33,38232.79,2150838.17
2011,1,1,20,MISCELLANEOUS MANUFACTURED ARTICLES,73480200.16,1027316108,5563733.9,61702656.91,21105069.49,346464198.5
2011,1,1,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",377107.36,15787088.15,3489.5,305942.92,1518324.3,76279371.21
2011,1,2,01,LIVE ANIMALS AND THEIR PRODUCTS,94403162.3,873729246.7,4704372.52,57353595.69,4166345.15,43856976.76
2011,1,2,02,VEGETABLE PRODUCTS,602783058.3,1806520993,9756464.28,37776223.36,140666859.2,481129893.8
2011,1,2,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",79642648.16,370498083.9,30137015.4,146050314.8,1058372,4957681.42
2011,1,2,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",148468746.4,1240665063,120697068.2,589832743.5,46886885.56,717778452.9
2011,1,2,05,MINERAL PRODUCTS,1295857472,2533457062,989259224.1,530847558.5,360717812.5,996493833.2
2011,1,2,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,557283529.4,3259296228,36951748.8,289003700,42764047.76,994345446
2011,1,2,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",205682807.2,1719075410,96587868.11,652305566.8,66830823.44,716563790.3
2011,1,2,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,8918899.46,242493272.2,281242.15,2628196.63,3672544.42,69046308.61
2011,1,2,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",132225750,303674810.2,191664.83,2504688.5,25317606.53,81738336.89
2011,1,2,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",92702662.16,468892855.5,41354227.58,130146768.2,5050413.43,48899063.01
2011,1,2,11,TEXTILES AND TEXTILE ARTICLES,102202388,2065834536,9525988.66,119999168,63803464.51,1062816157
2011,1,2,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",11938830.34,404646200.6,639275.24,4190126.54,7296554.92,140229485.5
2011,1,2,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",220999042.1,783343022.3,104277590.7,177330216.1,34729358.25,275013673.8
2011,1,2,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",783719.59,21049027231,118773.62,4351753652,294091.04,12909161589
2011,1,2,15,BASE METALS AND ARTICLES OF BASE METAL,1062761046,5140289797,221202488.5,914779483,101040086,760383206.1
2011,1,2,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",255114100,14747063205,9699394.34,176479037.6,140281415.8,9617773106
2011,1,2,17,VEHICLES OF TRANSPORT,139625625.3,5399361643,5475132.65,113811271.1,118068521.7,3189253847
2011,1,2,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",7291542.62,1656140002,77445,5486043.77,2191635.2,744774208.2
2011,1,2,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,155628.68,132331589.6,73528,2062655.48,11386.23,635384.18
2011,1,2,20,MISCELLANEOUS MANUFACTURED ARTICLES,64148694.17,849102484.1,5809593.15,54591634.61,20272951.44,351402839
2011,1,2,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",396729.74,23426264.28,10772,122211.07,1473244.86,43379463.93
2011,1,3,01,LIVE ANIMALS AND THEIR PRODUCTS,107109441.9,1026707610,8974958.85,120948374.4,4018391.61,38476146.97
2011,1,3,02,VEGETABLE PRODUCTS,763758434.2,2119932928,10026688.98,44119638.91,166727791.7,523326102.4
2011,1,3,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",56228942.51,306021935,34817716.85,168414933.6,993785.84,4717312.28
2011,1,3,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",248427414.6,1819333490,186100304.6,735649817.8,53402009.54,791363216.6
2011,1,3,05,MINERAL PRODUCTS,1405870323,2045296684,1282878866,770573770.8,96153296.71,200406499
2011,1,3,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,568304990,3920883260,37604108.64,336073748.6,49246416.76,1278589418
2011,1,3,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",220243063.8,1994696387,153664099.6,956881297.8,64420582.27,714059176
2011,1,3,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,5774874.44,242091830.3,557581.8,2852057.31,3243527.93,78710847.77
2011,1,3,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",144389161.7,317987324.4,730341.8,3129307.25,17182058.33,57244548.57
2011,1,3,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",111552959.3,540916039.6,51753259.86,156569952.1,5419591.71,52327655.44
2011,1,3,11,TEXTILES AND TEXTILE ARTICLES,96917180.35,2002926608,12536222.91,147992634.5,56070387.94,943413813.3
2011,1,3,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",9067238.67,340591635.9,231293.7,1622008.65,6481539.82,150442147.7
2011,1,3,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",223817970.9,717481178.6,158016791.1,241273463.6,36054854.13,314630837.4
2011,1,3,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",807529.23,25581641010,93036.96,5234244162,322036.98,15393441223
2011,1,3,15,BASE METALS AND ARTICLES OF BASE METAL,1093963573,5552276173,271275332.5,1247672028,106574006.5,1032877599
2011,1,3,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",276229984.8,17351410509,22463264.27,323921850.6,162638354.1,11488198513
2011,1,3,17,VEHICLES OF TRANSPORT,183007042.8,6882082711,9900838.41,59468271.87,131474854.4,3575411446
2011,1,3,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",5101146.69,1330864404,233963.1,13132327.24,2562240.14,679487031
2011,1,3,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,19829.69,22998745.25,49820,1310190.02,45968.25,459511.31
2011,1,3,20,MISCELLANEOUS MANUFACTURED ARTICLES,53532839,944670305.5,5453025.75,70205906.94,20863723.67,352174576.4
2011,1,3,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",326769.23,45168484.39,117806.5,471570,1898063.88,71113696.73
2011,2,4,01,LIVE ANIMALS AND THEIR PRODUCTS,104508961.9,992305002.6,9164444.18,125107615.3,4190698.62,39374597.42
2011,2,4,02,VEGETABLE PRODUCTS,653934575.7,1867569120,23304681.5,45221969.53,102075500,329946185.9
2011,2,4,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",43746614.9,238607606.7,23081483.05,97748832.74,3583603.19,12374417.07
2011,2,4,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",287349675.4,1706737672,167023245.8,710486834.8,45913468.69,755957589.3
2011,2,4,05,MINERAL PRODUCTS,1056022242,2433567256,1034791733,498398458.8,539125464.1,1591773709
2011,2,4,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,499912947.9,3516259394,33294333.79,268471188.4,41726892.49,1063292053
2011,2,4,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",213880486.6,1959416058,79068462.15,531123378.7,64299808.18,630109921
2011,2,4,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,8592659.6,226156086.7,362414.74,3183463.49,2843927.38,69464537.18
2011,2,4,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",149028577.9,323696856.9,5339313.47,14434176.6,27159563.95,77083783.87
2011,2,4,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",104600378,506039485.2,42173827.71,133884950,5472916.39,51606088.56
2011,2,4,11,TEXTILES AND TEXTILE ARTICLES,105401235.6,1933428166,15686054.82,137694046.2,55165644.49,953337514.1
